Año,Nombre de la presa,Latitud,Longitud,Altitud,Estado,Municipio,Cuenca de disponibilidad,Región hidrológica,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
2020,"Media Luna, Ags.",21.8075,-102.788333,1585,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1621.96,21.196,1619.2,15,1612.2,4.95,33
2020,"Plutarco Elías Calles, Ags.",22.141111,-102.417222,2020,Aguascalientes,San José de Gracia,Presa Calles,Lerma Santiago,2022,407.438,2020,358.121,2007.78,135.85,38
2019,"Abelardo L. Rodríguez, Ags.",21.916944,-102.427778,1974,Aguascalientes,Jesús María,Presa El Niágara,Lerma Santiago,1890,18.84,1888.9,16.043,1884.14,6.959,43
2019,"Derivadora Pabellón, Ags.",22.235,-102.4375,2090,Aguascalientes,Rincón de Romos,Río San Pedro,Lerma Santiago,2093,2.1,2092.6,2.038,2086.24,1.199,59
2019,"El Niágara, Ags.",21.78,-102.371667,1828,Aguascalientes,Aguascalientes,Presa El Niágara,Lerma Santiago,1832.4,31.695,1828.4,16.188,1828.42,16.246,100
2019,"Jocoque, Ags.",22.121667,-102.356944,1970,Aguascalientes,San José de Gracia,Río San Pedro,Lerma Santiago,1943.4,11.4,1942.45,10.975,1941.64,10.392,95
2019,"La Codorniz, Ags.",21.9975,-102.676944,1783,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1837.76,6.528,1836,5.366,1830.84,2.817,52
2019,"Media Luna, Ags.",21.8075,-102.788333,1585,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1621.96,21.196,1619.2,15,1615.5,9,60
2019,"Plutarco Elías Calles, Ags.",22.141111,-102.417222,2020,Aguascalientes,San José de Gracia,Presa Calles,Lerma Santiago,2022,407.438,2020,358.121,2011.29,189.749,53
2018,"Abelardo L. Rodríguez, Ags.",21.916944,-102.427778,1974,Aguascalientes,Jesús María,Presa El Niágara,Lerma Santiago,1890,18.84,1888.9,15.99,1885.84,9.774,61
2018,"Derivadora Pabellón, Ags.",22.235,-102.4375,2090,Aguascalientes,Rincón de Romos,Río San Pedro,Lerma Santiago,2093,2.1,2092.6,2.038,2086.74,1.259,62
2018,"El Niágara, Ags.",21.78,-102.371667,1828,Aguascalientes,Aguascalientes,Presa El Niágara,Lerma Santiago,1832.4,31.695,1828.4,16.188,1828.54,16.592,102
2018,"Jocoque, Ags.",22.121667,-102.356944,1970,Aguascalientes,San José de Gracia,Río San Pedro,Lerma Santiago,1943.4,11.4,1942.45,10.975,1942.47,10.989,100
2018,"La Codorniz, Ags.",21.9975,-102.676944,1783,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1837.76,6.528,1836,5.366,1834.3,4.401,82
